Team,Year,GP,ROW,Ave.Salary,Salary.Variation,Gini,Gini2,RosterSize,ROW_prev_actual,Team Name
MTL,2017,82,27,2394473.38,2200477.18,0.4688,0.21977344,26,44,Montreal Canadiens
MTL,2018,82,41,2550727.52,2436916.21,0.4653,0.21650409,27,27,Montreal Canadiens
MTL,2019,71,27,3138281.52,2470477.59,0.4142,0.17156164,23,41,Montreal Canadiens
MTL,2020,56,23,2892461.55,2357355.5,0.4254,0.18096516,31,27,Montreal Canadiens
MTL,2021,82,19,2750179.67,2559863.73,0.4737,0.22439169,30,23,Montreal Canadiens
MTL,2022,82,26,2992876.29,2481137.29,0.437,0.190969,31,19,Montreal Canadiens
MTL,2023,82,26,2982147.38,2681425.04,0.4642,0.21548164,26,26,Montreal Canadiens
MTL,2024,82,38,3493533,2826979.43,0.4355,0.18966025,25,26,Montreal Canadiens
NJD,2015,82,36,2483260.83,2071622.75,0.4408,0.19430464,23,,New Jersey Devils
NJD,2016,82,25,2818951.14,2018321.32,0.3962,0.15697444,21,36,New Jersey Devils
NJD,2017,82,39,2148787.11,1847996.14,0.4408,0.19430464,35,25,New Jersey Devils
NJD,2018,82,28,2359094.17,1972413.91,0.4365,0.19053225,23,39,New Jersey Devils
NJD,2019,69,24,2468636.32,2264803.28,0.4658,0.21696964,22,28,New Jersey Devils
NJD,2020,56,19,2221498.2,2132941.41,0.4578,0.20958084,25,24,New Jersey Devils
NJD,2021,82,24,2324921.84,2281303.37,0.4628,0.21418384,32,19,New Jersey Devils
NJD,2022,82,50,3276825.27,2419989.03,0.4055,0.16443025,26,24,New Jersey Devils
NJD,2023,82,38,3111800,2878462.82,0.4774,0.22791076,25,50,New Jersey Devils
NJD,2024,82,40,3158790,2653514.13,0.4481,0.20079361,31,38,New Jersey Devils
NSH,2015,82,37,2503552.4,2091733.4,0.4454,0.19838116,25,,Nashville Predators
NSH,2016,82,39,2364109.17,2265194.07,0.4886,0.23872996,29,37,Nashville Predators
NSH,2017,82,47,2657048.58,2295452.11,0.4528,0.20502784,24,39,Nashville Predators
NSH,2018,82,43,2760446.39,2310251.95,0.4472,0.19998784,28,47,Nashville Predators
NSH,2019,69,32,3429670.09,2384264.81,0.3903,0.15233409,23,43,Nashville Predators
NSH,2020,56,26,2561657.91,2383667.19,0.4683,0.21930489,34,32,Nashville Predators
NSH,2021,82,41,2552212.74,2521663.79,0.4865,0.23668225,27,26,Nashville Predators
NSH,2022,82,36,2661060.82,2751440.44,0.5018,0.25180324,28,41,Nashville Predators
NSH,2023,82,44,3102038,2393597.46,0.4129,0.17048641,24,36,Nashville Predators
NSH,2024,82,28,2968032,2818358.421,0.4873,0.23746129,23,44,Nashville Predators
NYI,2015,82,40,2496474.37,1717495.34,0.3847,0.14799409,27,,New York Islanders
NYI,2016,82,39,2947103.25,1731080.82,0.3361,0.11296321,24,40,New York Islanders
NYI,2017,82,32,2802532.08,1848519.71,0.3715,0.13801225,26,39,New York Islanders
NYI,2018,82,43,2686698.69,1772538.76,0.3703,0.13712209,26,32,New York Islanders
NYI,2019,68,32,2988132.14,1977578.83,0.3723,0.13860729,29,43,New York Islanders
NYI,2020,56,28,3304416.67,2169675.6,0.3692,0.13630864,30,32,New York Islanders
NYI,2021,82,35,3038233.36,2227222.05,0.4042,0.16337764,25,28,New York Islanders
NYI,2022,82,41,3235576.92,2199234.14,0.3813,0.14538969,26,35,New York Islanders
NYI,2023,82,38,3299709.92,2512250.66,0.4177,0.17447329,26,41,New York Islanders
NYI,2024,82,33,3130874,2664873.513,0.4561,0.20802721,28,38,New York Islanders
NYR,2015,82,43,3533652.17,2628241.93,0.4144,0.17172736,23,,New York Rangers
NYR,2016,82,45,2793518.52,2308564.9,0.4399,0.19351201,27,43,New York Rangers
NYR,2017,82,31,2432066.64,2185797.38,0.4582,0.20994724,25,45,New York Rangers
NYR,2018,82,26,2675597.74,2314964.05,0.4538,0.20593444,23,31,New York Rangers
NYR,2019,70,36,2246938.74,2619124.02,0.4936,0.24364096,35,26,New York Rangers
NYR,2020,56,26,1958988.05,2346759.46,0.4719,0.22268961,40,36,New York Rangers
NYR,2021,82,48,2759326.71,2583709.91,0.4585,0.21022225,28,26,New York Rangers
NYR,2022,82,43,3864214.28,3504282.95,0.4852,0.23541904,25,48,New York Rangers
NYR,2023,82,51,3660360.92,3116728.59,0.4574,0.20921476,25,43,New York Rangers
NYR,2024,82,38,3015441,3108796.667,0.5097,0.25979409,28,51,New York Rangers
OTT,2015,82,32,2307943.54,1831446.91,0.4165,0.17347225,26,,Ottawa Senators
OTT,2016,82,38,2608027.77,2100460.65,0.4338,0.18818244,30,32,Ottawa Senators
OTT,2017,82,26,2937689.36,2046283.28,0.3906,0.15256836,22,38,Ottawa Senators
OTT,2018,82,29,2412765.14,1831086.57,0.4039,0.16313521,22,26,Ottawa Senators
OTT,2019,71,24,2592930.56,1914179.59,0.402,0.161604,27,29,Ottawa Senators
OTT,2020,56,21,2086360.24,2041169.08,0.467,0.218089,34,24,Ottawa Senators
OTT,2021,82,30,2326772.47,2168234.86,0.4546,0.20666116,30,21,Ottawa Senators
OTT,2022,82,37,2948928.6,2555723.09,0.4563,0.20820969,25,30,Ottawa Senators
OTT,2023,82,32,3191383.88,2734603.82,0.4586,0.21031396,24,37,Ottawa Senators
OTT,2024,82,44,3626627,2763342.411,0.4229,0.17884441,24,32,Ottawa Senators
PHI,2015,82,38,2603076.92,1973059.43,0.409,0.167281,26,,Philadelphia Flyers
PHI,2016,82,32,2877469.2,2214356.08,0.412,0.169744,25,38,Philadelphia Flyers
PHI,2017,82,40,2996932.68,2142220.7,0.384,0.147456,25,32,Philadelphia Flyers
PHI,2018,82,34,2728698.35,2425053.15,0.4607,0.21224449,23,40,Philadelphia Flyers
PHI,2019,69,36,3195416.76,2641221.43,0.4499,0.20241001,25,34,Philadelphia Flyers
PHI,2020,56,22,2877606.56,2550443.62,0.4654,0.21659716,27,36,Philadelphia Flyers
PHI,2021,82,24,2760155.57,2345176.29,0.45,0.2025,28,22,Philadelphia Flyers
PHI,2022,82,29,3421007.6,2480601.9,0.4032,0.16257024,25,24,Philadelphia Flyers
PHI,2023,82,34,3201979.17,2310686.61,0.3963,0.15705369,24,29,Philadelphia Flyers
PHI,2024,82,27,2680167,2109731.549,0.4119,0.16966161,25,34,Philadelphia Flyers
PIT,2015,82,44,2687959.69,2610148.35,0.4977,0.24770529,29,,Pittsburgh Penguins
PIT,2016,82,46,2787067.45,2583142.85,0.4839,0.23415921,29,44,Pittsburgh Penguins
PIT,2017,82,45,3231341.12,2699001.34,0.4535,0.20566225,24,46,Pittsburgh Penguins
PIT,2018,82,42,3155466.64,2716622.47,0.4619,0.21335161,25,45,Pittsburgh Penguins
PIT,2019,69,37,3149087.96,2580802.74,0.442,0.195364,27,42,Pittsburgh Penguins
PIT,2020,56,34,2625134.35,2464671.52,0.4766,0.22714756,34,37,Pittsburgh Penguins
PIT,2021,82,43,3482493.84,2493221.7,0.3944,0.15555136,25,34,Pittsburgh Penguins
PIT,2022,82,39,3464590.62,2268627.45,0.3687,0.13593969,24,43,Pittsburgh Penguins
PIT,2023,82,36,3554355.43,2808273.72,0.4218,0.17791524,23,39,Pittsburgh Penguins
PIT,2024,82,33,2754152,2687230.821,0.4827,0.23299929,33,36,Pittsburgh Penguins
SEA,2021,82,24,2844928.79,1832740.58,0.3598,0.12945604,24,,Seattle Kraken
SEA,2022,82,46,3070256.38,1888304.28,0.3475,0.12075625,26,24,Seattle Kraken
SEA,2023,82,31,3310688.39,2038718.88,0.3475,0.12075625,23,46,Seattle Kraken
SEA,2024,82,33,3761452,2404931.781,0.3603,0.12981609,20,31,Seattle Kraken
SJS,2015,82,42,2856099.96,2087433.94,0.4081,0.16654561,25,,San Jose Sharks
SJS,2016,82,44,3328968.29,2042451.89,0.3502,0.12264004,21,42,San Jose Sharks
SJS,2017,82,40,3048666.68,2247305.08,0.4072,0.16581184,25,44,San Jose Sharks
SJS,2018,82,46,3375277.79,2551299.6,0.421,0.177241,24,40,San Jose Sharks
SJS,2019,70,27,2979358.96,3107829.9,0.5171,0.26739241,26,46,San Jose Sharks
SJS,2020,56,16,2592426.44,2880427.44,0.524,0.274576,34,27,San Jose Sharks
SJS,2021,82,29,2474973.1,2803823.69,0.5167,0.26697889,31,16,San Jose Sharks
SJS,2022,82,21,2851153.85,2754191.67,0.4679,0.21893041,26,29,San Jose Sharks
SJS,2023,82,18,2288125,1930862.06,0.4243,0.18003049,28,21,San Jose Sharks
SJS,2024,82,18,2281773,2013316.902,0.432,0.186624,27,18,San Jose Sharks
STL,2015,82,44,2975989.58,2142451.59,0.3991,0.15928081,24,,St. Louis Blues
STL,2016,82,44,2980329.88,2220661.25,0.408,0.166464,24,44,St. Louis Blues
STL,2017,82,41,2732800,2237722.2,0.4357,0.18983449,25,44,St. Louis Blues
STL,2018,82,42,3134871.73,2348538.17,0.4161,0.17313921,26,41,St. Louis Blues
STL,2019,71,40,3373397.38,2219408.78,0.3709,0.13756681,26,42,St. Louis Blues
STL,2020,56,25,2636306.27,2294313.28,0.4575,0.20930625,37,40,St. Louis Blues
STL,2021,82,47,3417500,2471558.21,0.4043,0.16345849,25,25,St. Louis Blues
STL,2022,82,34,3160797.09,2266932.36,0.3994,0.15952036,23,47,St. Louis Blues
STL,2023,82,38,3816834.41,2741738.79,0.3995,0.15960025,22,34,St. Louis Blues
STL,2024,82,40,3554822,2621810.743,0.4098,0.16793604,25,38,St. Louis Blues
TBL,2015,82,43,2784792.35,2073946.08,0.4131,0.17065161,26,,Tampa Bay Lighning
TBL,2016,82,38,2840708.3,2141608.14,0.4086,0.16695396,20,43,Tampa Bay Lighning
TBL,2017,82,48,2880555.56,2282405.67,0.4284,0.18352656,27,38,Tampa Bay Lighning
TBL,2018,82,56,3210069.42,2359686.15,0.405,0.164025,24,48,Tampa Bay Lighning
TBL,2019,70,41,3277916.62,2814067.66,0.4598,0.21141604,24,56,Tampa Bay Lighning
TBL,2020,56,35,3350781.22,2869991.19,0.463,0.214369,32,41,Tampa Bay Lighning
TBL,2021,82,49,4037500,3084369.96,0.4231,0.17901361,22,35,Tampa Bay Lighning
TBL,2022,82,43,3591354.17,3210427.02,0.4759,0.22648081,24,49,Tampa Bay Lighning
TBL,2023,82,42,3517380.89,3275531.76,0.4917,0.24176889,28,43,Tampa Bay Lighning
TBL,2024,82,45,4031354,3312041.436,0.4506,0.20304036,24,42,Tampa Bay Lighning
TOR,2015,82,23,2744393.95,1607772.05,0.3314,0.10982596,22,,Toronto Maple Leafs
TOR,2016,82,39,2320505.96,1653653.66,0.3904,0.15241216,28,23,Toronto Maple Leafs
TOR,2017,82,42,2917403.85,1894000.27,0.3651,0.13329801,26,39,Toronto Maple Leafs
TOR,2018,82,46,2783015.79,2759395.97,0.4882,0.23833924,29,42,Toronto Maple Leafs
TOR,2019,70,35,3612522.81,3288812.14,0.4758,0.22638564,27,46,Toronto Maple Leafs
TOR,2020,56,34,3041372.12,3161742.99,0.5084,0.25847056,32,35,Toronto Maple Leafs
TOR,2021,82,51,3305856.15,3369157.67,0.5069,0.25694761,27,34,Toronto Maple Leafs
TOR,2022,82,49,3458807.34,3423472.54,0.5048,0.25482304,29,51,Toronto Maple Leafs
TOR,2023,82,41,3591881.63,3242151.78,0.4731,0.22382361,30,49,Toronto Maple Leafs
TOR,2024,82,51,3605127,3713928.916,0.5056,0.25563136,27,41,Toronto Maple Leafs
VAN,2015,82,26,2825870.04,2026210.62,0.3943,0.15547249,25,,Vancouver Canucks 
VAN,2016,82,26,2307284.48,2111921.29,0.4644,0.21566736,29,26,Vancouver Canucks 
VAN,2017,82,31,2661664.63,2051223.36,0.421,0.177241,27,26,Vancouver Canucks 
VAN,2018,82,29,2203116.09,1588060.38,0.3847,0.14799409,33,31,Vancouver Canucks 
VAN,2019,69,32,3064326.92,1907639.52,0.3516,0.12362256,26,29,Vancouver Canucks 
VAN,2020,56,20,2225801.54,1937941.9,0.4441,0.19722481,35,32,Vancouver Canucks 
VAN,2021,82,37,2647118.06,2431713.57,0.4732,0.22391824,32,20,Vancouver Canucks 
VAN,2022,82,32,3041681.03,2469161.14,0.4411,0.19456921,29,37,Vancouver Canucks 
VAN,2023,82,50,3392350,2392075.89,0.3949,0.15594601,25,32,Vancouver Canucks 
VAN,2024,82,35,3340551,2858116.696,0.4502,0.20268004,23,50,Vancouver Canucks 
VGK,2017,82,47,2170156.22,1746890.05,0.4261,0.18156121,32,,Vegas Golden Knights
VGK,2018,82,40,2906696.43,2055552.37,0.3948,0.15586704,28,47,Vegas Golden Knights
VGK,2019,71,36,3731521.74,2530791.01,0.3798,0.14424804,23,40,Vegas Golden Knights
VGK,2020,56,39,3245771.63,2654881.02,0.4436,0.19678096,27,36,Vegas Golden Knights
VGK,2021,82,39,3388179.04,2910077.7,0.4599,0.21150801,27,39,Vegas Golden Knights
VGK,2022,82,46,3417528.14,2611455.69,0.4042,0.16337764,29,39,Vegas Golden Knights
VGK,2023,82,41,3941758.63,2779646.87,0.3902,0.15225604,27,46,Vegas Golden Knights
VGK,2024,82,49,3367327,2916780.192,0.4595,0.21114025,29,41,Vegas Golden Knights
WPG,2015,82,32,2042931.03,1784448.37,0.4387,0.19245769,29,,Winnipeg Jets
WPG,2016,82,37,2443075.31,2095336.75,0.4426,0.19589476,26,32,Winnipeg Jets
WPG,2017,82,48,2569055.53,2219589.99,0.4536,0.20575296,30,37,Winnipeg Jets
WPG,2018,82,45,3029697.48,2273249.4,0.4121,0.16982641,27,48,Winnipeg Jets
WPG,2019,71,34,2814098.52,2407100.87,0.4571,0.20894041,29,45,Winnipeg Jets
WPG,2020,56,30,2839775,2413688.38,0.4535,0.20566225,31,34,Winnipeg Jets
WPG,2021,82,37,3370987.08,2513183.29,0.4124,0.17007376,24,30,Winnipeg Jets
WPG,2022,82,45,3203068.74,2498568.3,0.4258,0.18130564,27,37,Winnipeg Jets
WPG,2023,82,52,3297763.69,2073569.52,0.356,0.126736,26,45,Winnipeg Jets
WPG,2024,82,54,2904124,2383544.868,0.4373,0.19123129,31,52,Winnipeg Jets
